Member_number,Date,itemDescription,Invoice_id
1934,04-08-2015,yogurt,1934_04-08-2015
3525,14-02-2015,oil,3525_14-02-2015
1354,29-11-2015,pastry,1354_29-11-2015
2782,09-04-2015,soda,2782_09-04-2015
4456,16-05-2015,other vegetables,4456_16-05-2015
4869,03-04-2015,flower (seeds),4869_03-04-2015
2454,26-08-2015,soda,2454_26-08-2015
4222,20-08-2015,chocolate,4222_20-08-2015
1358,11-09-2015,yogurt,1358_11-09-2015
3393,15-02-2015,whole milk,3393_15-02-2015
1615,03-12-2015,whipped/sour cream,1615_03-12-2015
4734,12-07-2015,rolls/buns,4734_12-07-2015
4946,04-11-2015,coffee,4946_04-11-2015
2419,22-08-2015,pastry,2419_22-08-2015
4989,03-06-2015,rolls/buns,4989_03-06-2015
2961,27-05-2015,softener,2961_27-05-2015
2707,07-03-2015,shopping bags,2707_07-03-2015
2010,06-11-2015,specialty bar,2010_06-11-2015
1502,16-04-2015,yogurt,1502_16-04-2015
2600,29-04-2015,other vegetables,2600_29-04-2015
3603,30-01-2015,root vegetables,3603_30-01-2015
4352,14-04-2015,soda,4352_14-04-2015
1477,16-05-2015,liquor (appetizer),1477_16-05-2015
4938,24-11-2015,other vegetables,4938_24-11-2015
2745,27-01-2015,butter milk,2745_27-01-2015
2738,09-11-2015,whole milk,2738_09-11-2015
4170,19-01-2015,yogurt,4170_19-01-2015
3776,17-05-2015,butter,3776_17-05-2015
1062,18-09-2015,butter,1062_18-09-2015
1546,03-01-2015,whipped/sour cream,1546_03-01-2015
2020,19-11-2015,pastry,2020_19-11-2015
2366,18-01-2015,whole milk,2366_18-01-2015
1107,03-01-2015,spread cheese,1107_03-01-2015
1407,29-07-2015,coffee,1407_29-07-2015
3718,26-02-2015,herbs,3718_26-02-2015
4808,26-07-2015,abrasive cleaner,4808_26-07-2015
2940,21-05-2015,root vegetables,2940_21-05-2015
3048,10-12-2015,pip fruit,3048_10-12-2015
3165,15-06-2015,butter milk,3165_15-06-2015
4306,28-12-2015,pastry,4306_28-12-2015
4302,05-11-2015,coffee,4302_05-11-2015
4516,29-03-2015,pip fruit,4516_29-03-2015
3582,31-03-2015,newspapers,3582_31-03-2015
1534,10-07-2015,bottled water,1534_10-07-2015
1844,24-07-2015,chewing gum,1844_24-07-2015
1218,05-07-2015,whole milk,1218_05-07-2015
4482,30-11-2015,yogurt,4482_30-11-2015
2574,11-12-2015,curd,2574_11-12-2015
2767,27-01-2015,other vegetables,2767_27-01-2015
2794,29-09-2015,margarine,2794_29-09-2015
4228,26-03-2015,bottled water,4228_26-03-2015
3062,08-06-2015,margarine,3062_08-06-2015
2365,21-06-2015,other vegetables,2365_21-06-2015
3775,07-07-2015,Instant food products,3775_07-07-2015
2232,06-05-2015,other vegetables,2232_06-05-2015
4156,03-08-2015,rolls/buns,4156_03-08-2015
3643,20-09-2015,sliced cheese,3643_20-09-2015
3470,04-10-2015,frozen meals,3470_04-10-2015
2602,11-12-2015,root vegetables,2602_11-12-2015
4796,10-06-2015,whole milk,4796_10-06-2015
3289,09-08-2015,yogurt,3289_09-08-2015
4470,31-03-2015,cream cheese ,4470_31-03-2015
2502,07-02-2015,berries,2502_07-02-2015
2205,07-03-2015,pastry,2205_07-03-2015
3201,21-01-2015,specialty chocolate,3201_21-01-2015
2882,25-06-2015,citrus fruit,2882_25-06-2015
2757,16-12-2015,other vegetables,2757_16-12-2015
3679,30-08-2015,other vegetables,3679_30-08-2015
2380,12-02-2015,rolls/buns,2380_12-02-2015
1825,06-10-2015,domestic eggs,1825_06-10-2015
2868,18-07-2015,beef,2868_18-07-2015
2709,20-08-2015,other vegetables,2709_20-08-2015
4585,16-07-2015,soda,4585_16-07-2015
2634,22-04-2015,other vegetables,2634_22-04-2015
4832,03-12-2015,ready soups,4832_03-12-2015
2032,28-07-2015,meat spreads,2032_28-07-2015
2061,27-12-2015,long life bakery product,2061_27-12-2015
2210,13-01-2015,rice,2210_13-01-2015
2346,05-08-2015,bottled beer,2346_05-08-2015
4315,26-04-2015,bottled water,4315_26-04-2015
4166,26-07-2015,butter,4166_26-07-2015
3907,25-10-2015,newspapers,3907_25-10-2015
2706,22-03-2015,detergent,2706_22-03-2015
2855,05-08-2015,frozen dessert,2855_05-08-2015
2074,10-04-2015,chocolate,2074_10-04-2015
2840,27-05-2015,canned beer,2840_27-05-2015
2247,31-05-2015,specialty bar,2247_31-05-2015
4063,14-07-2015,spices,4063_14-07-2015
4780,03-07-2015,beverages,4780_03-07-2015
1081,06-03-2015,whole milk,1081_06-03-2015
4843,02-03-2015,dessert,4843_02-03-2015
3246,27-08-2015,canned beer,3246_27-08-2015
4009,14-07-2015,yogurt,4009_14-07-2015
3697,03-10-2015,spread cheese,3697_03-10-2015
4579,29-10-2015,curd,4579_29-10-2015
3803,06-10-2015,newspapers,3803_06-10-2015
4108,21-07-2015,whole milk,4108_21-07-2015
1664,01-04-2015,curd,1664_01-04-2015
4179,06-03-2015,pickled vegetables,4179_06-03-2015
4172,18-02-2015,pastry,4172_18-02-2015
2851,17-02-2015,chewing gum,2851_17-02-2015
3385,22-06-2015,ice cream,3385_22-06-2015
1303,08-09-2015,canned fish,1303_08-09-2015
4487,22-01-2015,brown bread,4487_22-01-2015
2392,23-03-2015,whole milk,2392_23-03-2015
4218,03-10-2015,specialty fat,4218_03-10-2015
2891,02-07-2015,domestic eggs,2891_02-07-2015
4474,10-12-2015,sugar,4474_10-12-2015
4437,28-07-2015,butter milk,4437_28-07-2015
2648,08-11-2015,fruit/vegetable juice,2648_08-11-2015
1081,03-05-2015,bottled beer,1081_03-05-2015
3071,21-01-2015,domestic eggs,3071_21-01-2015
3409,20-05-2015,frozen vegetables,3409_20-05-2015
2768,01-01-2015,salt,2768_01-01-2015
3424,16-08-2015,yogurt,3424_16-08-2015
4610,19-04-2015,cream cheese ,4610_19-04-2015
3090,04-11-2015,berries,3090_04-11-2015
4585,01-05-2015,brown bread,4585_01-05-2015
4388,20-03-2015,tropical fruit,4388_20-03-2015
3751,01-01-2015,whole milk,3751_01-01-2015
2650,11-05-2015,coffee,2650_11-05-2015
2448,08-06-2015,root vegetables,2448_08-06-2015
2652,26-12-2015,soda,2652_26-12-2015
1385,19-11-2015,other vegetables,1385_19-11-2015
2960,31-08-2015,rolls/buns,2960_31-08-2015
2736,02-03-2015,processed cheese,2736_02-03-2015
1768,21-04-2015,rolls/buns,1768_21-04-2015
2002,20-10-2015,frozen vegetables,2002_20-10-2015
3046,18-11-2015,margarine,3046_18-11-2015
2284,18-03-2015,waffles,2284_18-03-2015
1708,18-09-2015,canned beer,1708_18-09-2015
1952,23-11-2015,tropical fruit,1952_23-11-2015
3497,08-09-2015,brown bread,3497_08-09-2015
1479,14-05-2015,rolls/buns,1479_14-05-2015
1237,09-04-2015,white bread,1237_09-04-2015
4353,24-08-2015,other vegetables,4353_24-08-2015
3528,18-08-2015,soda,3528_18-08-2015
2092,04-09-2015,rolls/buns,2092_04-09-2015
2514,02-11-2015,cake bar,2514_02-11-2015
4790,16-05-2015,dessert,4790_16-05-2015
1948,25-08-2015,dessert,1948_25-08-2015
3581,16-01-2015,yogurt,3581_16-01-2015
4778,26-03-2015,bottled water,4778_26-03-2015
2601,26-03-2015,whole milk,2601_26-03-2015
4678,31-03-2015,cling film/bags,4678_31-03-2015
3642,24-02-2015,rolls/buns,3642_24-02-2015
2957,19-09-2015,bottled beer,2957_19-09-2015
4585,28-09-2015,whole milk,4585_28-09-2015
3637,10-07-2015,salty snack,3637_10-07-2015
1353,09-02-2015,salty snack,1353_09-02-2015
3257,13-02-2015,dog food,3257_13-02-2015
2524,10-09-2015,dishes,2524_10-09-2015
2035,23-12-2015,prosecco,2035_23-12-2015
3658,26-09-2015,pip fruit,3658_26-09-2015
1901,29-11-2015,zwieback,1901_29-11-2015
3247,13-01-2015,spread cheese,3247_13-01-2015
4308,24-01-2015,detergent,4308_24-01-2015
1305,24-05-2015,whole milk,1305_24-05-2015
1011,09-12-2015,herbs,1011_09-12-2015
2234,29-07-2015,margarine,2234_29-07-2015
3744,08-12-2015,whole milk,3744_08-12-2015
2903,08-08-2015,soda,2903_08-08-2015
3036,12-07-2015,shopping bags,3036_12-07-2015
2465,27-12-2015,soda,2465_27-12-2015
1233,20-03-2015,soda,1233_20-03-2015
1366,29-05-2015,whole milk,1366_29-05-2015
3741,06-08-2015,shopping bags,3741_06-08-2015
2230,28-05-2015,other vegetables,2230_28-05-2015
1206,15-05-2015,soda,1206_15-05-2015
3690,24-04-2015,cake bar,3690_24-04-2015
3620,18-06-2015,onions,3620_18-06-2015
4759,20-02-2015,other vegetables,4759_20-02-2015
3543,11-10-2015,curd,3543_11-10-2015
2792,29-07-2015,sliced cheese,2792_29-07-2015
1929,10-07-2015,butter,1929_10-07-2015
2433,23-08-2015,rolls/buns,2433_23-08-2015
4941,15-01-2015,pickled vegetables,4941_15-01-2015
3547,07-10-2015,whole milk,3547_07-10-2015
1290,24-04-2015,margarine,1290_24-04-2015
4207,28-08-2015,dessert,4207_28-08-2015
2107,01-03-2015,margarine,2107_01-03-2015
3050,11-03-2015,soda,3050_11-03-2015
3814,21-07-2015,napkins,3814_21-07-2015
4875,13-09-2015,grapes,4875_13-09-2015
3691,08-08-2015,newspapers,3691_08-08-2015
2433,14-03-2015,chocolate,2433_14-03-2015
4757,09-01-2015,dishes,4757_09-01-2015
1407,29-04-2015,rolls/buns,1407_29-04-2015
4718,12-06-2015,curd,4718_12-06-2015
1240,14-04-2015,other vegetables,1240_14-04-2015
1792,15-08-2015,detergent,1792_15-08-2015
4486,09-11-2015,other vegetables,4486_09-11-2015
1757,15-06-2015,whipped/sour cream,1757_15-06-2015
2186,01-07-2015,other vegetables,2186_01-07-2015
3752,15-04-2015,root vegetables,3752_15-04-2015
3051,29-11-2015,fruit/vegetable juice,3051_29-11-2015
3688,23-10-2015,whole milk,3688_23-10-2015
4676,15-01-2015,other vegetables,4676_15-01-2015
2142,25-06-2015,curd,2142_25-06-2015
4939,29-06-2015,whole milk,4939_29-06-2015
1806,06-07-2015,root vegetables,1806_06-07-2015
1595,05-10-2015,other vegetables,1595_05-10-2015
2086,09-03-2015,pastry,2086_09-03-2015
4251,03-10-2015,yogurt,4251_03-10-2015
2689,30-04-2015,rolls/buns,2689_30-04-2015
2560,26-11-2015,fruit/vegetable juice,2560_26-11-2015
2393,17-04-2015,salty snack,2393_17-04-2015
1669,19-08-2015,vinegar,1669_19-08-2015
3500,21-04-2015,whole milk,3500_21-04-2015
1213,03-03-2015,dessert,1213_03-03-2015
4598,18-11-2015,whole milk,4598_18-11-2015
1404,03-05-2015,bottled water,1404_03-05-2015
1758,26-02-2015,yogurt,1758_26-02-2015
1265,07-03-2015,curd,1265_07-03-2015
1006,14-06-2015,chocolate,1006_14-06-2015
2779,17-10-2015,white bread,2779_17-10-2015
4457,03-09-2015,pasta,4457_03-09-2015
2532,06-07-2015,root vegetables,2532_06-07-2015
2811,23-02-2015,long life bakery product,2811_23-02-2015
4004,10-05-2015,pastry,4004_10-05-2015
1737,09-05-2015,instant coffee,1737_09-05-2015
3266,25-10-2015,coffee,3266_25-10-2015
4981,10-01-2015,brown bread,4981_10-01-2015
1934,06-08-2015,curd,1934_06-08-2015
2512,19-01-2015,soda,2512_19-01-2015
3400,04-03-2015,hard cheese,3400_04-03-2015
4301,01-05-2015,soda,4301_01-05-2015
2997,30-12-2015,rubbing alcohol,2997_30-12-2015
1098,05-08-2015,hard cheese,1098_05-08-2015
2208,30-07-2015,curd,2208_30-07-2015
3672,28-05-2015,canned beer,3672_28-05-2015
3651,24-01-2015,rolls/buns,3651_24-01-2015
3957,15-05-2015,processed cheese,3957_15-05-2015
2986,11-01-2015,bottled beer,2986_11-01-2015
4433,25-05-2015,waffles,4433_25-05-2015
3822,27-05-2015,chocolate marshmallow,3822_27-05-2015
4588,30-04-2015,soft cheese,4588_30-04-2015
2622,17-07-2015,pip fruit,2622_17-07-2015
2117,02-05-2015,whipped/sour cream,2117_02-05-2015
1780,12-07-2015,yogurt,1780_12-07-2015
3819,12-04-2015,packaged fruit/vegetables,3819_12-04-2015
1884,11-12-2015,coffee,1884_11-12-2015
2595,23-01-2015,dessert,2595_23-01-2015
3046,31-03-2015,bottled water,3046_31-03-2015
3228,26-01-2015,whipped/sour cream,3228_26-01-2015
2251,23-06-2015,napkins,2251_23-06-2015
2368,11-11-2015,bottled water,2368_11-11-2015
2573,03-01-2015,hard cheese,2573_03-01-2015
4701,30-04-2015,pasta,4701_30-04-2015
4384,25-05-2015,cream cheese ,4384_25-05-2015
1998,18-05-2015,rolls/buns,1998_18-05-2015
4583,23-02-2015,frozen dessert,4583_23-02-2015
2043,21-04-2015,bottled water,2043_21-04-2015
2201,22-05-2015,hygiene articles,2201_22-05-2015
3522,23-09-2015,whipped/sour cream,3522_23-09-2015
3922,28-08-2015,napkins,3922_28-08-2015
2636,11-09-2015,sliced cheese,2636_11-09-2015
1092,27-07-2015,Instant food products,1092_27-07-2015
2711,13-09-2015,chewing gum,2711_13-09-2015
3899,22-04-2015,margarine,3899_22-04-2015
4372,30-07-2015,other vegetables,4372_30-07-2015
4576,05-08-2015,whole milk,4576_05-08-2015
4953,10-10-2015,napkins,4953_10-10-2015
4692,27-10-2015,root vegetables,4692_27-10-2015
1170,12-11-2015,soda,1170_12-11-2015
2625,08-04-2015,yogurt,2625_08-04-2015
2394,30-08-2015,domestic eggs,2394_30-08-2015
4277,18-02-2015,rolls/buns,4277_18-02-2015
3170,17-01-2015,male cosmetics,3170_17-01-2015
2229,25-10-2015,shopping bags,2229_25-10-2015
2944,01-02-2015,yogurt,2944_01-02-2015
2582,06-03-2015,fruit/vegetable juice,2582_06-03-2015
1373,10-05-2015,frozen vegetables,1373_10-05-2015
1366,25-10-2015,bottled water,1366_25-10-2015
3469,10-05-2015,soda,3469_10-05-2015
4012,16-05-2015,frozen potato products,4012_16-05-2015
2031,26-02-2015,misc. beverages,2031_26-02-2015
2459,16-09-2015,onions,2459_16-09-2015
4377,23-02-2015,other vegetables,4377_23-02-2015
1534,13-08-2015,hygiene articles,1534_13-08-2015
2051,23-07-2015,ice cream,2051_23-07-2015
3430,26-01-2015,rolls/buns,3430_26-01-2015
1567,13-03-2015,bottled beer,1567_13-03-2015
2972,21-05-2015,house keeping products,2972_21-05-2015
1287,28-08-2015,ice cream,1287_28-08-2015
4776,08-08-2015,yogurt,4776_08-08-2015
2271,04-08-2015,whole milk,2271_04-08-2015
4657,15-08-2015,snack products,4657_15-08-2015
2344,14-04-2015,root vegetables,2344_14-04-2015
1482,06-07-2015,soda,1482_06-07-2015
1278,09-12-2015,butter,1278_09-12-2015
4831,13-11-2015,domestic eggs,4831_13-11-2015
1819,11-11-2015,pasta,1819_11-11-2015
2687,31-07-2015,fruit/vegetable juice,2687_31-07-2015
4468,24-03-2015,curd,4468_24-03-2015
4760,02-04-2015,root vegetables,4760_02-04-2015
2310,24-03-2015,frozen meals,2310_24-03-2015
3924,07-02-2015,bottled water,3924_07-02-2015
3517,11-12-2015,shopping bags,3517_11-12-2015
3164,30-09-2015,hygiene articles,3164_30-09-2015
3245,17-05-2015,coffee,3245_17-05-2015
2629,06-12-2015,frozen dessert,2629_06-12-2015
1347,15-09-2015,bottled water,1347_15-09-2015
1216,25-08-2015,bottled water,1216_25-08-2015
4636,10-04-2015,photo/film,4636_10-04-2015
1197,22-11-2015,packaged fruit/vegetables,1197_22-11-2015
1100,12-03-2015,butter milk,1100_12-03-2015
2054,15-12-2015,whole milk,2054_15-12-2015
3761,26-09-2015,margarine,3761_26-09-2015
4947,14-09-2015,soda,4947_14-09-2015
1032,15-06-2015,white bread,1032_15-06-2015
3353,14-08-2015,waffles,3353_14-08-2015
4466,20-08-2015,frozen vegetables,4466_20-08-2015
2081,22-01-2015,butter milk,2081_22-01-2015
2162,19-06-2015,curd,2162_19-06-2015
3719,17-12-2015,brown bread,3719_17-12-2015
3153,28-04-2015,pastry,3153_28-04-2015
4462,02-04-2015,newspapers,4462_02-04-2015
2420,27-09-2015,frozen potato products,2420_27-09-2015
3971,17-06-2015,zwieback,3971_17-06-2015
1611,26-02-2015,domestic eggs,1611_26-02-2015
1225,26-02-2015,whole milk,1225_26-02-2015
1554,21-05-2015,detergent,1554_21-05-2015
4624,27-11-2015,candy,4624_27-11-2015
3337,10-06-2015,chewing gum,3337_10-06-2015
2265,25-09-2015,domestic eggs,2265_25-09-2015
4999,24-01-2015,yogurt,4999_24-01-2015
4102,03-11-2015,rum,4102_03-11-2015
3853,04-07-2015,domestic eggs,3853_04-07-2015
2265,13-06-2015,whipped/sour cream,2265_13-06-2015
2452,11-08-2015,canned beer,2452_11-08-2015
2829,19-12-2015,margarine,2829_19-12-2015
3926,20-08-2015,curd,3926_20-08-2015
3960,21-10-2015,root vegetables,3960_21-10-2015
3980,16-09-2015,pastry,3980_16-09-2015
1116,29-01-2015,root vegetables,1116_29-01-2015
2663,21-10-2015,whole milk,2663_21-10-2015
2164,24-11-2015,pasta,2164_24-11-2015
3950,12-05-2015,whole milk,3950_12-05-2015
1252,13-04-2015,whole milk,1252_13-04-2015
4804,27-12-2015,rolls/buns,4804_27-12-2015
4041,07-09-2015,rolls/buns,4041_07-09-2015
1894,04-08-2015,citrus fruit,1894_04-08-2015
4977,20-08-2015,packaged fruit/vegetables,4977_20-08-2015
2171,03-09-2015,long life bakery product,2171_03-09-2015
3417,15-12-2015,sauces,3417_15-12-2015
1175,10-06-2015,white wine,1175_10-06-2015
4946,17-02-2015,yogurt,4946_17-02-2015
4662,27-06-2015,brown bread,4662_27-06-2015
2869,10-12-2015,whole milk,2869_10-12-2015
4053,22-03-2015,whole milk,4053_22-03-2015
4574,30-11-2015,rolls/buns,4574_30-11-2015
1110,15-11-2015,margarine,1110_15-11-2015
4700,04-03-2015,ketchup,4700_04-03-2015
2565,29-04-2015,butter milk,2565_29-04-2015
2468,13-03-2015,domestic eggs,2468_13-03-2015
4836,13-11-2015,other vegetables,4836_13-11-2015
3504,22-09-2015,whipped/sour cream,3504_22-09-2015
1333,03-04-2015,brown bread,1333_03-04-2015
4039,27-12-2015,bottled water,4039_27-12-2015
2077,15-05-2015,rolls/buns,2077_15-05-2015
3519,13-12-2015,rolls/buns,3519_13-12-2015
2989,30-01-2015,soda,2989_30-01-2015
3737,05-05-2015,pastry,3737_05-05-2015
3558,19-09-2015,other vegetables,3558_19-09-2015
3036,13-07-2015,whipped/sour cream,3036_13-07-2015
3180,03-07-2015,curd,3180_03-07-2015
2978,09-05-2015,UHT-milk,2978_09-05-2015
3985,23-10-2015,whipped/sour cream,3985_23-10-2015
4903,08-12-2015,salty snack,4903_08-12-2015
2835,09-10-2015,yogurt,2835_09-10-2015
3783,22-06-2015,soda,3783_22-06-2015
1486,14-12-2015,rolls/buns,1486_14-12-2015
4589,08-10-2015,beverages,4589_08-10-2015
1132,19-02-2015,rolls/buns,1132_19-02-2015
4827,27-11-2015,pip fruit,4827_27-11-2015
3361,28-06-2015,beverages,3361_28-06-2015
4681,11-09-2015,cat food,4681_11-09-2015
4197,26-10-2015,yogurt,4197_26-10-2015
3701,22-01-2015,specialty chocolate,3701_22-01-2015
4195,01-10-2015,cream cheese ,4195_01-10-2015
3429,01-04-2015,coffee,3429_01-04-2015
2430,20-01-2015,sliced cheese,2430_20-01-2015
4330,08-04-2015,sparkling wine,4330_08-04-2015
1783,18-03-2015,rolls/buns,1783_18-03-2015
4025,04-11-2015,dental care,4025_04-11-2015
3399,19-07-2015,rolls/buns,3399_19-07-2015
4766,03-01-2015,margarine,4766_03-01-2015
3562,13-08-2015,soda,3562_13-08-2015
2447,21-01-2015,curd cheese,2447_21-01-2015
1396,22-07-2015,canned beer,1396_22-07-2015
4633,26-04-2015,rolls/buns,4633_26-04-2015
4695,05-01-2015,shopping bags,4695_05-01-2015
1706,14-08-2015,cat food,1706_14-08-2015
3872,23-11-2015,shopping bags,3872_23-11-2015
1444,14-10-2015,hygiene articles,1444_14-10-2015
4753,08-11-2015,whole milk,4753_08-11-2015
4580,29-11-2015,butter,4580_29-11-2015
2516,03-04-2015,yogurt,2516_03-04-2015
2415,08-08-2015,curd,2415_08-08-2015
3925,25-03-2015,margarine,3925_25-03-2015
4996,24-11-2015,decalcifier,4996_24-11-2015
4569,27-07-2015,sliced cheese,4569_27-07-2015
3509,11-04-2015,coffee,3509_11-04-2015
2252,08-10-2015,rolls/buns,2252_08-10-2015
1634,09-02-2015,newspapers,1634_09-02-2015
4112,27-04-2015,soda,4112_27-04-2015
4042,08-08-2015,white wine,4042_08-08-2015
4473,26-06-2015,whole milk,4473_26-06-2015
3878,30-04-2015,liquor (appetizer),3878_30-04-2015
2266,30-09-2015,butter milk,2266_30-09-2015
3304,30-11-2015,hygiene articles,3304_30-11-2015
3757,04-02-2015,whole milk,3757_04-02-2015
3440,21-12-2015,yogurt,3440_21-12-2015
4328,04-02-2015,abrasive cleaner,4328_04-02-2015
3737,06-12-2015,yogurt,3737_06-12-2015
3948,15-06-2015,rum,3948_15-06-2015
3682,05-03-2015,canned beer,3682_05-03-2015
2827,31-10-2015,whipped/sour cream,2827_31-10-2015
2650,05-10-2015,semi-finished bread,2650_05-10-2015
1360,16-12-2015,citrus fruit,1360_16-12-2015
3679,23-12-2015,domestic eggs,3679_23-12-2015
4137,07-03-2015,root vegetables,4137_07-03-2015
4235,19-12-2015,condensed milk,4235_19-12-2015
3193,31-01-2015,whipped/sour cream,3193_31-01-2015
1332,02-12-2015,Instant food products,1332_02-12-2015
4821,28-11-2015,cream cheese ,4821_28-11-2015
1837,09-07-2015,yogurt,1837_09-07-2015
3665,23-09-2015,chocolate,3665_23-09-2015
2659,08-05-2015,other vegetables,2659_08-05-2015
1322,09-01-2015,bottled beer,1322_09-01-2015
1599,29-05-2015,berries,1599_29-05-2015
2933,06-04-2015,yogurt,2933_06-04-2015
3963,21-02-2015,specialty bar,3963_21-02-2015
4178,03-06-2015,coffee,4178_03-06-2015
1052,27-10-2015,shopping bags,1052_27-10-2015
4693,18-08-2015,domestic eggs,4693_18-08-2015
1329,02-02-2015,whipped/sour cream,1329_02-02-2015
3128,13-06-2015,yogurt,3128_13-06-2015
1175,30-06-2015,berries,1175_30-06-2015
2211,31-03-2015,packaged fruit/vegetables,2211_31-03-2015
2093,12-06-2015,rolls/buns,2093_12-06-2015
4284,14-10-2015,coffee,4284_14-10-2015
4449,30-03-2015,UHT-milk,4449_30-03-2015
4269,01-04-2015,semi-finished bread,4269_01-04-2015
1962,05-04-2015,frozen meals,1962_05-04-2015
2250,04-10-2015,margarine,2250_04-10-2015
1743,13-11-2015,brown bread,1743_13-11-2015
1583,28-07-2015,newspapers,1583_28-07-2015
4295,26-10-2015,butter,4295_26-10-2015
1183,29-06-2015,brown bread,1183_29-06-2015
2729,21-03-2015,butter,2729_21-03-2015
4035,03-08-2015,whole milk,4035_03-08-2015
1608,06-08-2015,cream cheese ,1608_06-08-2015
1793,03-07-2015,organic products,1793_03-07-2015
2210,09-07-2015,whole milk,2210_09-07-2015
1885,03-07-2015,butter,1885_03-07-2015
1078,28-10-2015,rolls/buns,1078_28-10-2015
1016,30-09-2015,pip fruit,1016_30-09-2015
3077,29-05-2015,bottled water,3077_29-05-2015
3551,01-05-2015,beverages,3551_01-05-2015
1158,17-10-2015,root vegetables,1158_17-10-2015
2443,20-06-2015,curd,2443_20-06-2015
1395,15-01-2015,curd,1395_15-01-2015
2454,10-11-2015,domestic eggs,2454_10-11-2015
3472,30-04-2015,pastry,3472_30-04-2015
3547,28-11-2015,jam,3547_28-11-2015
1038,21-02-2015,whole milk,1038_21-02-2015
3915,11-09-2015,onions,3915_11-09-2015
2719,19-04-2015,coffee,2719_19-04-2015
2234,23-12-2015,whole milk,2234_23-12-2015
1565,14-12-2015,frozen vegetables,1565_14-12-2015
1328,24-03-2015,whole milk,1328_24-03-2015
3398,18-01-2015,frozen fish,3398_18-01-2015
3687,12-02-2015,beverages,3687_12-02-2015
2448,08-06-2015,root vegetables,2448_08-06-2015
2652,26-12-2015,margarine,2652_26-12-2015
1385,19-11-2015,chocolate,1385_19-11-2015
2960,31-08-2015,whole milk,2960_31-08-2015
2736,02-03-2015,pip fruit,2736_02-03-2015
1768,21-04-2015,herbs,1768_21-04-2015
2002,20-10-2015,root vegetables,2002_20-10-2015
3046,18-11-2015,instant coffee,3046_18-11-2015
2284,18-03-2015,napkins,2284_18-03-2015
1708,18-09-2015,berries,1708_18-09-2015
1952,23-11-2015,soda,1952_23-11-2015
3497,08-09-2015,rolls/buns,3497_08-09-2015
1479,14-05-2015,brown bread,1479_14-05-2015
1237,09-04-2015,tropical fruit,1237_09-04-2015
4353,24-08-2015,cream cheese ,4353_24-08-2015
3528,18-08-2015,sliced cheese,3528_18-08-2015
2092,04-09-2015,beverages,2092_04-09-2015
2514,02-11-2015,rolls/buns,2514_02-11-2015
4790,16-05-2015,rolls/buns,4790_16-05-2015
1948,25-08-2015,soda,1948_25-08-2015
3581,16-01-2015,rolls/buns,3581_16-01-2015
4778,26-03-2015,frozen vegetables,4778_26-03-2015
2601,26-03-2015,pastry,2601_26-03-2015
4678,31-03-2015,soda,4678_31-03-2015
3642,24-02-2015,other vegetables,3642_24-02-2015
2957,19-09-2015,artif. sweetener,2957_19-09-2015
4585,28-09-2015,yogurt,4585_28-09-2015
3637,10-07-2015,dessert,3637_10-07-2015
1353,09-02-2015,flour,1353_09-02-2015
3257,13-02-2015,bottled water,3257_13-02-2015
2524,10-09-2015,bottled beer,2524_10-09-2015
2035,23-12-2015,ice cream,2035_23-12-2015
3658,26-09-2015,yogurt,3658_26-09-2015
1901,29-11-2015,brown bread,1901_29-11-2015
3247,13-01-2015,misc. beverages,3247_13-01-2015
4308,24-01-2015,yogurt,4308_24-01-2015
1305,24-05-2015,yogurt,1305_24-05-2015
1011,09-12-2015,other vegetables,1011_09-12-2015
2234,29-07-2015,pickled vegetables,2234_29-07-2015
3744,08-12-2015,canned vegetables,3744_08-12-2015
2903,08-08-2015,butter,2903_08-08-2015
3036,12-07-2015,beverages,3036_12-07-2015
2465,27-12-2015,whole milk,2465_27-12-2015
1233,20-03-2015,salty snack,1233_20-03-2015
1366,29-05-2015,candles,1366_29-05-2015
3741,06-08-2015,chewing gum,3741_06-08-2015
2230,28-05-2015,hard cheese,2230_28-05-2015
1206,15-05-2015,other vegetables,1206_15-05-2015
3690,24-04-2015,other vegetables,3690_24-04-2015
3620,18-06-2015,flour,3620_18-06-2015
4759,20-02-2015,domestic eggs,4759_20-02-2015
3543,11-10-2015,white bread,3543_11-10-2015
2792,29-07-2015,domestic eggs,2792_29-07-2015
1929,10-07-2015,yogurt,1929_10-07-2015
2433,23-08-2015,softener,2433_23-08-2015
4941,15-01-2015,salty snack,4941_15-01-2015
3547,07-10-2015,chocolate,3547_07-10-2015
1290,24-04-2015,yogurt,1290_24-04-2015
4207,28-08-2015,specialty chocolate,4207_28-08-2015
2107,01-03-2015,sugar,2107_01-03-2015
3050,11-03-2015,dessert,3050_11-03-2015
3814,21-07-2015,white wine,3814_21-07-2015
4875,13-09-2015,other vegetables,4875_13-09-2015
3691,08-08-2015,tropical fruit,3691_08-08-2015
2433,14-03-2015,processed cheese,2433_14-03-2015
4757,09-01-2015,yogurt,4757_09-01-2015
1407,29-04-2015,detergent,1407_29-04-2015
4718,12-06-2015,flower soil/fertilizer,4718_12-06-2015
1240,14-04-2015,oil,1240_14-04-2015
1792,15-08-2015,frozen vegetables,1792_15-08-2015
4486,09-11-2015,yogurt,4486_09-11-2015
1757,15-06-2015,curd,1757_15-06-2015
2186,01-07-2015,domestic eggs,2186_01-07-2015
3752,15-04-2015,root vegetables,3752_15-04-2015
